,x,y,z
291,-5.305327,25.336485,-6.3428993
292,-4.5932612,23.504461,-6.060664
293,-4.843025,24.53656,-6.3733077
294,-5.320627,26.07399,-6.5694103
295,-4.4884744,29.961739,-6.6167355
296,-5.157331,32.09806,-7.4155955
297,-6.163353,35.860214,-6.878909
298,-6.7727437,43.12157,-7.3898025
299,-6.0854344,43.930584,-7.0831113
300,-4.523644,43.454327,-6.935299
301,-5.9561844,39.327156,-7.5189285
302,-6.990288,35.860737,-6.8784685
303,-5.616719,31.076544,-5.417604
304,-8.142277,23.075966,-6.479312
305,-6.5712204,19.39245,-6.006325
306,-6.2105045,15.850196,-5.2821155
307,-5.9492984,12.890276,-4.7037077
308,-6.246637,7.4408493,-4.1515865
309,-5.9912324,4.988573,-3.7576942
310,-5.129469,3.2926295,-3.9144516
311,-4.500548,2.0147552,-3.836578
312,-4.295014,1.6532993,-3.5632799
313,-4.041803,1.0585951,-3.508674
314,-5.00297,0.0665905,-2.759162
315,-4.776353,0.028258476,-3.0353277
316,-5.1717777,-0.46485677,-2.422332
317,-4.727764,0.13425623,-2.5036898
318,-4.775941,0.2854309,-2.5381858
319,-5.041078,0.21308886,-2.3519337
320,-5.2127614,0.11965157,-2.3003209
321,-5.894309,0.44316164,-2.1928785
322,-5.406906,0.10026655,-2.189367
323,-5.340363,0.059312478,-2.5883634
324,-5.0285845,0.5042679,-2.5830226
325,-5.0910554,0.4230939,-2.4233112
326,-5.063989,0.376325,-2.50424
327,-5.182887,0.37383533,-2.4113524
328,-5.391361,0.4844091,-2.403482
329,-5.2092237,0.55597186,-2.2175527
330,-5.1625085,1.6536548,-2.498392
331,-5.108612,2.4773452,-2.3554354
332,-5.5429626,3.371756,-2.501304
333,-5.617725,3.9468868,-3.0105963
334,-5.915849,4.8243947,-2.9205039
335,-5.7992005,5.045224,-2.7366614
336,-6.5019755,4.891388,-2.8821218
337,-6.2121563,4.1535397,-2.5369782
338,-5.6708946,3.6607413,-2.662411
339,-5.6154413,2.9588156,-2.6176722
340,-5.5502915,3.1967204,-2.6132405
341,-5.328153,3.2259676,-2.6450696
342,-5.2557464,4.0595436,-3.0275886
343,-5.5288515,5.725833,-3.0335796
344,-5.832111,7.463292,-2.8530955
345,-5.725024,9.634403,-3.1302242
346,-5.460458,12.697053,-3.186812
347,-6.0525546,13.443163,-3.294885
348,-5.9046497,13.715641,-3.7933965
349,-6.634702,13.342147,-3.9165123
350,-6.6241174,13.930852,-3.9503324
351,-6.597307,14.5379,-4.4065156
352,-5.9387784,16.289427,-4.173464
353,-6.4211183,20.441664,-4.0908537
354,-6.2630124,23.443748,-5.1940823
355,-5.9098463,28.947912,-4.772895
356,-6.046929,31.309694,-4.5693808
357,-4.751044,38.192608,-4.9600964
358,-4.6644936,51.560936,-6.5999746
359,-4.782315,51.49449,-6.845491
360,-3.7851374,48.64197,-6.3221083
361,-5.3316574,43.772854,-7.7801237
362,-4.9828634,34.881966,-7.362181
363,-4.587808,31.480957,-7.718403
364,-4.4186687,29.430828,-7.420512
365,-3.7668996,28.827894,-7.4214716
366,-3.7737381,27.910717,-7.971112
367,-3.4387815,31.000542,-7.4975767
368,-4.3414855,34.873802,-7.7249923
369,-4.555757,38.547604,-7.5599914
370,-4.486069,42.44828,-7.123539
371,-5.025908,47.299713,-7.543307
372,-3.9668295,54.424015,-7.0056663
373,-5.7769494,55.555424,-8.849735
374,-4.6974382,49.560947,-7.620214
375,-3.7980726,44.474915,-6.7146654
376,-5.1124673,37.978428,-5.6372795
377,-5.080133,29.329582,-5.3633533
378,-4.9341135,25.177578,-5.669584
379,-6.3898125,19.799377,-5.957477
380,-6.825285,17.288492,-5.5461965
381,-6.813665,14.593431,-5.318514
382,-7.0387836,11.264456,-5.8700957
383,-7.099694,8.358231,-5.758565
384,-5.9263988,3.3941565,-4.590636
385,-5.6167836,1.3544043,-4.042986
386,-6.130624,0.53337944,-3.7958963
387,-6.284327,-0.41529933,-3.2271647
388,-5.7331653,-0.7732533,-3.3101177
389,-6.9428754,-0.8861762,-2.8294325
390,-6.5802975,-0.5784188,-2.8109467
391,-6.3999987,-0.35088935,-2.8146942
392,-6.2220244,-0.1749292,-2.7933002
393,-6.0086503,0.15902737,-2.806059
394,-5.866701,0.44643244,-3.1109076
395,-5.8315268,0.557787,-3.1273677
396,-5.276343,0.3611135,-3.5674317
397,-5.04046,0.08137993,-3.171577
398,-4.78632,0.032765195,-3.1981997
399,-5.138524,0.19697998,-3.0145211
400,-4.9216,0.59684896,-3.036975
401,-5.122512,0.32353538,-3.0846786
402,-4.9370666,0.05704996,-2.7061205
403,-5.2568617,0.3258121,-2.8367531
404,-5.19271,0.31078205,-2.7970943
405,-4.5454593,0.61965966,-2.873271
406,-4.9132447,0.7958944,-2.8983965
407,-5.0374427,0.82524484,-3.1306436
408,-4.742053,0.77796936,-3.5721517
409,-4.617541,0.7925623,-3.5624824
410,-4.3740287,1.0297245,-3.3839412
411,-4.60604,1.1696461,-3.3386343
412,-4.687678,1.2624365,-3.247216
413,-4.856048,1.6812235,-3.2509391
414,-4.868308,1.7256261,-3.1500328
415,-5.5505047,1.977335,-3.2798643
416,-6.263315,5.506767,-3.335678
417,-6.159031,9.691248,-3.264585
418,-6.6239915,14.245282,-2.6142154
419,-7.135148,18.877823,-3.8870413
420,-6.9826016,23.589943,-4.9664645
421,-6.816821,29.015629,-3.9602435
422,-7.1474814,37.48188,-4.689451
423,-6.388607,40.92613,-5.267138
424,-5.940613,44.68626,-6.121318
425,-4.0408607,47.187634,-6.096717
426,-4.806346,40.600155,-8.469777
427,-6.475857,36.613243,-8.028068
428,-6.1836925,32.285126,-8.371463
